REGION,PROVINCIA,COMUNA,NOM_REGION,NOM_PROVIN,NOM_COMUNA,TOTAL_VIVI,PARTICULAR,POR_PART,COLECTIVAS,POR_COLE,TOTAL_PERS,POR_HOMBRES,HOMBRES,POR_MUJERES,MUJERES,DENSIDAD,MEDIA_MAS,INDICE_MAS,INDICE_DEP,IND_DEP_JU,IND_DEP_VE,CUT,PERSONAS_0,Porc_0_5,PERSONAS_6,Porc_6_14,PERSONAS_1,Porc_15_64,PERSONAS_M,Porc_mas_65,PERSONAS_E,Porc_MIGR,PNac_MIG,PUEBLOS_IN,Porc_IND,PNac_IND,TOTAL_VIV_,TOTAL_VI_1,VIV_OCUPA_,TOTAL_VI_2,CANTIDAD_H,VIV_TIPO_C,vTip_Casa,VIV_TIPO_D,vTip_Dep,vOtro_Tip,VIV_TIPO_T,VIV_TIPO_P,VIV_TIPO_M,VIV_TIPO_1,VIV_TIPO_O,VIV_PARED_,VIV_PARE_1,VIV_PARE_2,VIV_PARE_3,VIV_PARE_4,VIV_PARE_5,VIV_TECHO_,VIV_TECH_1,VIV_TECH_2,VIV_TECH_3,VIV_TECH_4,VIV_TECH_5,VIV_TECH_6,VIV_PISO_P,VIV_PISO_R,VIV_PISO_B,VIV_PISO_C,VIV_PISO_T,VIV_MATERI,Mat_Acep,VIV_MATE_1,Mat_Recup,VIV_MATE_2,Mat_Irrecup,VIV_AGUA_R,vAguRedPUB,VIV_AGUA_P,vAguPOZO,VIV_AGUA_C,vAguCAMION,VIV_AGUA_1,vAguRIO,Escudo,Latitud,Longitud
15,151,15101,REGIÓN DE ARICA Y PARINACOTA,ARICA,ARICA,72639,72414,99.69024903977203,225,0.3097509602279767,221364,49.41589418333604,109389,50.58410581666396,111975,46.2,menor,97.7,48.9,32.7,16.2,15101,16089,7.632316734740348,26109,12.385614868999673,146472,69.48354134942434,22131,10.498527046835642,15657,7.072965793896026,mayor,74785,33.78372273721111,mayor,72234,224,61949,72458,65413,55423,76.7270260542127,12725,17.616357947780823,5.6566159980064725,166,992,2344,43,541,16668,34272,5997,3730,447,474,18432,17998,22496,906,109,1134,279,49465,3864,4334,2262,1310,46753,76.72853790228612,11810,19.381944102538853,2370,3.8895179951750283,58260,94.93083052255952,1719,2.800997213667693,1153,1.8787375144612275,239,0.3894347493115641,https://es.wikipedia.org/wiki/Arica#/media/Archivo:Escudo_de_Arica.svg,-18.53219308,-69.97149109
15,151,15102,REGIÓN DE ARICA Y PARINACOTA,ARICA,CAMARONES,948,927,97.78481012658227,21,2.2151898734177213,1255,57.84860557768924,726,42.15139442231076,529,0.3,mayor,137.2,46.8,22.7,24.1,15102,36,3.6290322580645165,74,7.459677419354839,728,73.38709677419355,154,15.524193548387096,87,6.932270916334661,mayor,856,68.20717131474103,mayor,927,21,431,948,463,631,68.06903991370011,0,0.0,31.93096008629989,37,24,220,2,13,11,63,142,137,70,7,100,5,299,3,12,7,3,150,91,53,54,80,97,22.823529411764707,241,56.705882352941174,87,20.47058823529412,112,25.986078886310903,22,5.104408352668213,127,29.466357308584683,170,39.443155452436194,https://upload.wikimedia.org/wikipedia/commons/6/6d/Logomuni-01.png,-18.93858957,-69.71405639
15,152,15201,REGIÓN DE ARICA Y PARINACOTA,PARINACOTA,PUTRE,1917,1875,97.80907668231612,42,2.190923317683881,2765,74.28571428571429,2054,25.71428571428571,711,0.5,mayor,288.9,21.3,11.0,10.3,15201,31,1.5648662291771833,94,4.745078243311459,1750,88.33922261484098,106,5.350832912670368,203,7.341772151898734,mayor,1245,45.02712477396022,mayor,1875,42,540,1917,564,1579,84.21333333333332,5,0.26666666666666666,15.52000000000001,185,19,79,0,8,31,116,45,37,299,12,61,9,421,2,26,18,1,218,48,63,64,145,128,23.88059701492537,250,46.64179104477612,158,29.47761194029851,358,66.54275092936803,27,5.018587360594796,9,1.6728624535315983,144,26.765799256505574,https://upload.wikimedia.org/wikipedia/commons/3/32/Escudo_de_Putre.svg,-18.42751143,-69.31019307
15,152,15202,REGIÓN DE ARICA Y PARINACOTA,PARINACOTA,GENERAL LAGOS,697,686,98.42180774748924,11,1.5781922525107603,684,60.23391812865497,412,39.76608187134503,272,0.3,mayor,151.5,41.9,21.4,20.5,15202,15,3.6057692307692304,0,0.0,337,81.00961538461539,64,15.384615384615385,27,3.9473684210526314,mayor,507,74.12280701754386,mayor,685,11,217,696,220,385,56.20437956204379,0,0.0,43.79562043795621,288,1,11,0,0,12,14,1,0,185,0,23,0,177,0,9,0,0,45,8,14,10,133,26,12.560386473429952,50,24.154589371980677,131,63.28502415458937,63,29.71698113207547,19,8.962264150943396,44,20.754716981132077,86,40.56603773584906,https://upload.wikimedia.org/wikipedia/commons/7/7c/Escudo_de_General_Lagos.svg,-17.8292135,-69.57072281
1,11,1101,REGIÓN DE TARAPACÁ,IQUIQUE,IQUIQUE,66986,66725,99.61036634520646,261,0.38963365479353895,191468,49.56285123362651,94897,50.4371487663735,96571,83.7,menor,98.3,43.8,30.5,13.3,1101,15433,8.268726927878356,22608,12.112964322262288,131761,70.59520046291583,16841,9.023108286943524,26581,13.88273758539286,mayor,32425,16.934944742724632,mayor,66493,259,55775,66752,59990,38243,57.51432481614606,22466,33.78701517452965,8.6986600093243,20,4466,583,55,660,20644,24237,7236,2759,83,340,15450,17203,21041,651,43,584,181,50039,1119,2573,944,330,47004,85.85519105720756,6758,12.343829911594945,986,1.8009790311974867,54729,99.06059947871417,30,0.054300608166811475,462,0.8362293657688966,27,0.04887054735013033,https://upload.wikimedia.org/wikipedia/commons/b/b3/Escudo_de_Iquique.svg,-20.94061512,-70.04153835
1,11,1107,REGIÓN DE TARAPACÁ,IQUIQUE,ALTO HOSPICIO,33178,33162,99.95177527277112,16,0.04822472722888661,108375,50.017070357554786,54206,49.982929642445214,54169,188.9,menor,100.1,48.3,42.0,6.3,1107,9775,9.567668620983293,17017,16.656063112355262,71518,70.00107666859162,3857,3.775191598069827,11423,10.540253748558246,mayor,31255,28.839677047289502,mayor,32481,16,27816,32497,29050,25989,80.01293063637203,4125,12.69973215110372,7.28733721252425,12,435,1549,32,339,6067,15821,2780,2492,46,467,7391,7641,11354,316,18,667,186,21215,1443,2471,1409,967,19741,72.11851094143864,6006,21.941329046871004,1626,5.940160011690352,26228,95.12893982808023,61,0.2212469623880164,1261,4.573646222480142,21,0.0761669870516122,https://upload.wikimedia.org/wikipedia/commons/c/c4/Escudo_de_Alto_Hospicio.svg,-20.18994645,-70.01096214
1,14,1401,REGIÓN DE TARAPACÁ,TAMARUGAL,POZO ALMONTE,8926,8884,99.5294644857719,42,0.47053551422809764,15711,57.20196040990388,8987,42.79803959009611,6724,1.1,mayor,133.7,43.3,33.0,10.3,1401,890,7.308860967397552,1772,14.552024308121869,8667,71.17516629711751,848,6.963948427363062,1662,10.57857552033607,mayor,6404,40.76125007956209,mayor,8851,34,4051,8885,4155,7831,88.47587843181562,4,0.045192633600723085,11.478928934583664,31,245,539,10,191,331,2317,797,441,79,72,929,112,2737,74,17,123,31,2720,480,389,257,170,2403,60.09002250562641,1298,32.45811452863216,298,7.451862965741435,3285,81.81818181818183,385,9.58904109589041,279,6.948941469489414,66,1.643835616438356,https://upload.wikimedia.org/wikipedia/commons/2/29/Escudo_de_Pozo_Almonte.svg,-20.76764845,-69.5042363
1,14,1402,REGIÓN DE TARAPACÁ,TAMARUGAL,CAMIÑA,1092,1088,99.63369963369964,4,0.3663003663003663,1250,52.559999999999995,657,47.44,593,0.6,mayor,110.8,60.5,35.3,25.2,1402,73,6.547085201793721,134,12.01793721973094,772,69.23766816143497,136,12.197309417040358,113,9.04,mayor,1067,85.36,mayor,1082,4,471,1086,477,822,75.97042513863215,10,0.9242144177449169,23.105360443622928,12,13,213,1,11,24,252,75,83,28,1,80,6,367,4,1,3,1,246,58,47,92,21,192,42.01312910284464,245,53.610503282275715,20,4.3763676148796495,349,76.87224669603523,10,2.2026431718061676,3,0.6607929515418502,92,20.26431718061674,https://upload.wikimedia.org/wikipedia/commons/3/30/Escudo_de_Cami%C3%B1a.svg,-19.37344985,-69.50533912
1,14,1403,REGIÓN DE TARAPACÁ,TAMARUGAL,COLCHANE,2030,2025,99.75369458128078,5,0.24630541871921183,1728,57.581018518518526,995,42.41898148148148,733,0.4,mayor,135.7,36.4,19.9,16.5,1403,58,4.978540772532189,92,7.896995708154507,872,74.84978540772532,143,12.274678111587983,131,7.581018518518519,mayor,1097,63.48379629629629,mayor,2001,4,448,2005,464,808,40.379810094952525,2,0.09995002498750624,59.52023988005997,1135,10,32,1,13,3,41,10,6,380,2,35,2,328,2,69,3,0,48,57,41,113,173,23,5.386416861826698,229,53.62997658079626,175,40.98360655737705,167,38.83720930232558,23,5.348837209302325,1,0.23255813953488372,239,55.58139534883721,https://upload.wikimedia.org/wikipedia/commons/e/e0/Escudo_de_Colchane.svg,-19.35302347,-68.84421888
1,14,1404,REGIÓN DE TARAPACÁ,TAMARUGAL,HUARA,2871,2863,99.72135144548938,8,0.2786485545106235,2730,54.981684981684985,1501,45.01831501831502,1229,0.3,mayor,122.1,58.5,36.1,22.5,1404,133,5.757575757575758,249,10.779220779220779,1662,71.94805194805195,266,11.515151515151516,356,13.040293040293042,mayor,1625,59.523809523809526,mayor,2845,8,925,2853,947,2250,79.08611599297012,3,0.1054481546572935,20.808435852372583,61,50,442,0,39,107,261,256,205,59,33,200,12,608,20,9,62,8,438,161,99,104,119,327,35.85526315789473,424,46.49122807017544,161,17.653508771929825,542,58.97714907508161,85,9.249183895538629,64,6.9640914036996735,228,24.809575625680086,https://upload.wikimedia.org/wikipedia/commons/e/e3/Escudo_de_Huara.svg,-19.60258684,-69.66289651
