REGION,PROVINCIA,COMUNA,NOM_REGION,NOM_PROVIN,NOM_COMUNA,TOTAL_VIVI,PARTICULAR,POR_PART,COLECTIVAS,POR_COLE,TOTAL_PERS,POR_HOMBRES,HOMBRES,POR_MUJERES,MUJERES,DENSIDAD,MEDIA_MAS,INDICE_MAS,INDICE_DEP,IND_DEP_JU,IND_DEP_VE,CUT,PERSONAS_0,Porc_0_5,PERSONAS_6,Porc_6_14,PERSONAS_1,Porc_15_64,PERSONAS_M,Porc_mas_65,PERSONAS_E,Porc_MIGR,PNac_MIG,PUEBLOS_IN,Porc_IND,PNac_IND,TOTAL_VIV_,TOTAL_VI_1,VIV_OCUPA_,TOTAL_VI_2,CANTIDAD_H,VIV_TIPO_C,vTip_Casa,VIV_TIPO_D,vTip_Dep,vOtro_Tip,VIV_TIPO_T,VIV_TIPO_P,VIV_TIPO_M,VIV_TIPO_1,VIV_TIPO_O,VIV_PARED_,VIV_PARE_1,VIV_PARE_2,VIV_PARE_3,VIV_PARE_4,VIV_PARE_5,VIV_TECHO_,VIV_TECH_1,VIV_TECH_2,VIV_TECH_3,VIV_TECH_4,VIV_TECH_5,VIV_TECH_6,VIV_PISO_P,VIV_PISO_R,VIV_PISO_B,VIV_PISO_C,VIV_PISO_T,VIV_MATERI,Mat_Acep,VIV_MATE_1,Mat_Recup,VIV_MATE_2,Mat_Irrecup,VIV_AGUA_R,vAguRedPUB,VIV_AGUA_P,vAguPOZO,VIV_AGUA_C,vAguCAMION,VIV_AGUA_1,vAguRIO,Escudo,Latitud,Longitud
1,14,1405,REGIÓN DE TARAPACÁ,TAMARUGAL,PICA,2726,2703,99.1562729273661,23,0.8437270726338958,9296,70.46041308089501,6550,29.539586919104995,2746,1.0,mayor,238.5,25.1,15.7,9.5,1405,314,3.6009174311926606,524,6.009174311926606,7323,83.97935779816514,559,6.410550458715596,979,10.531411359724613,mayor,3307,35.57444061962134,mayor,2680,23,1582,2703,1620,2406,89.77611940298507,5,0.18656716417910446,10.037313432835816,11,34,166,1,57,153,666,392,202,143,21,363,41,1071,20,39,35,2,1089,185,154,97,37,876,56.37065637065637,602,38.73873873873874,76,4.89060489060489,1293,82.25190839694656,197,12.53180661577608,55,3.498727735368957,27,1.717557251908397,https://upload.wikimedia.org/wikipedia/commons/1/1c/Escudo_de_Pica.svg,-20.4789532,-68.91220313
2,21,2101,REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,112451,112275,99.84348738561685,176,0.15651261438315356,361873,50.251331268152086,181846,49.748668731847914,180027,11.8,menor,101.0,40.8,29.7,11.1,2101,24510,7.14531429470996,41962,12.233034615855543,250738,73.0967693034266,25812,7.524881786007895,33649,9.29856607152233,mayor,25797,7.128744062143348,menor,110683,173,97257,110856,104128,79022,71.39488448993974,27825,25.13936196163819,3.4657535484220716,29,707,2415,38,647,38200,48985,5081,3588,227,431,27999,30464,36228,655,17,699,134,86475,2993,4278,1432,816,83308,87.19698555578816,10630,11.126229851371154,1602,1.6767845928406948,94507,98.2166425906488,144,0.14965237001548487,1155,1.2003367178325348,417,0.4333683215031749,https://upload.wikimedia.org/wikipedia/commons/6/65/Escudo_de_Antofagasta.svg,-24.2767224,-69.41008866
2,21,2102,REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,MEJILLONES,4216,3976,94.30740037950665,240,5.692599620493358,13467,59.66436474344694,8035,40.335635256553054,5432,3.8,mayor,147.9,33.7,26.2,7.5,2102,825,6.528448207644219,1370,10.841180659966765,9845,77.90614861122101,597,4.724222521167999,1801,13.373431350709142,mayor,1166,8.658201529665108,menor,3946,239,3020,4185,3400,3215,81.4749113025849,472,11.961479979726306,6.563608717688794,1,13,193,5,47,754,1605,398,209,1,41,745,598,1583,33,1,33,6,2491,188,174,106,29,2343,78.86233591383373,549,18.478626725008414,79,2.6590373611578593,2666,89.074507183428,3,0.10023387905111927,322,10.758436351486802,2,0.06682258603407952,https://upload.wikimedia.org/wikipedia/commons/1/12/Escudo_de_Mejillones.svg,-22.94657835,-70.20304579
2,21,2103,REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,SIERRA GORDA,570,527,92.45614035087719,43,7.5438596491228065,10186,85.03828784606323,8662,14.961712153936777,1524,0.8,mayor,568.4,4.6,3.3,1.3,2103,84,1.0258915486077185,188,2.2960429897410846,7870,96.1162677088422,46,0.5617977528089888,575,5.645002945218928,mayor,1378,13.528372275672492,menor,527,42,343,569,358,466,88.42504743833017,0,0.0,11.574952561669832,0,21,36,1,3,34,123,107,58,9,9,48,5,285,1,0,1,0,284,29,9,15,5,231,68.14159292035397,93,27.43362831858407,15,4.424778761061947,331,97.0674486803519,0,0.0,9,2.6392961876832843,1,0.2932551319648094,https://upload.wikimedia.org/wikipedia/commons/e/ef/Escudo_de_Sierra_Gorda.svg,-23.25641436,-69.3055671
2,21,2104,REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,TALTAL,4593,4548,99.02024820378837,45,0.9797517962116263,13317,56.17631598708418,7481,43.82368401291582,5836,0.7,mayor,128.2,43.6,30.5,13.1,2104,819,7.140988752288778,1519,13.244397942279187,8104,70.66004010811754,1027,8.9545731973145,319,2.395434407148757,mayor,3258,24.464969587744985,mayor,4485,45,3432,4530,3564,4076,90.88071348940913,3,0.06688963210702341,9.052396878483847,49,19,256,26,56,386,1625,902,443,13,51,694,72,2522,18,0,63,22,2715,180,196,170,130,2429,71.97037037037038,761,22.548148148148147,185,5.481481481481482,2821,83.09278350515464,2,0.05891016200294551,566,16.671575846833576,6,0.17673048600883653,https://upload.wikimedia.org/wikipedia/commons/1/19/Escudo_de_Taltal.svg,-25.31330317,-69.86520402
2,22,2201,REGIÓN DE ANTOFAGASTA,EL LOA,CALAMA,57307,56963,99.39972429197131,344,0.6002757080286876,165731,51.92088384188837,86049,48.07911615811164,79682,10.6,menor,108.0,40.8,31.4,9.4,2201,11337,7.243163812931256,20252,12.938921543572707,115542,73.81932021466905,9389,5.998594428826987,17931,10.819339773488364,mayor,38581,23.27928993368772,mayor,56765,343,46162,57108,48293,49856,87.82876772659209,3676,6.475821368801197,5.695410904606717,136,1579,688,25,805,12842,26117,3044,1216,2111,420,15043,3783,25518,420,44,653,103,39852,1430,2810,907,458,36704,81.26646739732092,7165,15.864054024133731,1296,2.869478578545334,44725,98.0037689543343,54,0.1183276360767815,726,1.590849329476729,131,0.28705408011219213,https://upload.wikimedia.org/wikipedia/commons/1/1f/Escudo_de_Calama.svg,-22.16211891,-68.62970982
2,22,2202,REGIÓN DE ANTOFAGASTA,EL LOA,OLLAGÜE,439,427,97.26651480637814,12,2.733485193621868,321,64.48598130841121,207,35.51401869158878,114,0.1,mayor,181.6,34.3,24.3,10.0,2202,20,7.434944237918216,32,11.895910780669144,196,72.86245353159852,21,7.806691449814126,83,25.85669781931464,mayor,215,66.97819314641744,mayor,427,12,94,439,102,173,40.5152224824356,0,0.0,59.4847775175644,0,6,234,1,13,0,52,24,5,13,0,20,0,67,0,4,3,0,71,13,3,4,3,57,60.63829787234043,31,32.97872340425532,6,6.382978723404255,83,89.24731182795699,0,0.0,10,10.75268817204301,0,0.0,https://upload.wikimedia.org/wikipedia/commons/6/63/Escudo_de_Ollag%C3%BCe.svg,-21.45824065,-68.31325799
2,22,2203,REGIÓN DE ANTOFAGASTA,EL LOA,SAN PEDRO DE ATACAMA,4144,3972,95.84942084942085,172,4.1505791505791505,10996,56.02946526009458,6161,43.97053473990542,4835,0.5,mayor,127.4,29.5,21.2,8.3,2203,482,4.829659318637274,872,8.7374749498998,8041,80.57114228456913,585,5.861723446893788,1513,13.759548926882504,mayor,5479,49.8272098945071,mayor,3948,171,2836,4119,2982,3385,85.73961499493414,5,0.12664640324214793,14.133738601823708,78,227,126,6,121,109,1366,340,131,844,32,423,13,2075,33,216,54,1,1686,547,264,200,114,1200,42.81127363539065,1429,50.9810916874777,174,6.207634677131645,2480,88.13077469793888,37,1.3148542999289268,182,6.467661691542288,115,4.0867093105899075,https://upload.wikimedia.org/wikipedia/commons/5/5b/Escudo_de_San_Pedro_de_Atacama.svg,-23.40176318,-67.90939838
2,23,2301,REGIÓN DE ANTOFAGASTA,TOCOPILLA,TOCOPILLA,10670,10620,99.53139643861293,50,0.4686035613870665,25186,49.55530850472485,12481,50.44469149527515,12705,6.2,menor,98.2,52.8,36.6,16.2,2301,1948,8.1921022751167,3294,13.852558980613146,16157,67.94650742251567,2380,10.00883132175449,1187,4.712935757960772,mayor,1738,6.900659096323354,menor,10605,49,7804,10654,7979,8565,80.76379066478077,1110,10.466760961810467,8.769448373408764,3,48,789,12,78,1764,3778,1640,478,26,69,2402,906,4207,77,0,97,32,7007,134,413,101,68,6434,83.8962055026731,1042,13.587169122440995,193,2.5166253748859044,7489,96.90734989648033,2,0.025879917184265012,236,3.0538302277432714,1,0.012939958592132506,https://upload.wikimedia.org/wikipedia/commons/b/be/Escudo_de_Tocopilla.svg,-21.99757108,-70.02122446
2,23,2302,REGIÓN DE ANTOFAGASTA,TOCOPILLA,MARÍA ELENA,1959,1865,95.20163348647269,94,4.79836651352731,6457,63.37308347529813,4092,36.626916524701876,2365,0.5,mayor,173.0,25.2,19.4,5.8,2302,151,2.7554744525547443,500,9.124087591240876,4669,85.2007299270073,160,2.9197080291970803,361,5.590831655567601,mayor,697,10.794486603685922,menor,1860,93,1425,1953,1448,1793,96.3978494623656,3,0.16129032258064516,3.4408602150537604,1,25,7,1,30,486,679,102,31,96,14,408,4,960,2,1,23,3,1326,18,32,17,15,1186,85.38516918646508,166,11.95104391648668,37,2.663786897048236,1343,95.79172610556348,0,0.0,59,4.208273894436519,0,0.0,https://upload.wikimedia.org/wikipedia/commons/e/ef/Escudo_de_Mar%C3%ADa_Elena.svg,-22.09293704,-69.46706747
3,31,3101,REGIÓN DE ATACAMA,COPIAPÓ,COPIAPÓ,55565,55453,99.79843426617475,112,0.2015657338252497,153937,49.77815599888266,76627,50.22184400111735,77310,8.7,menor,99.1,46.8,33.8,13.0,3101,11045,7.590908778513159,18603,12.785303395806272,104031,71.49749489701243,11824,8.126292928668137,4984,3.2376881451502886,mayor,26508,17.220031571357115,mayor,55432,109,45515,55541,46877,46545,83.96774426324146,6811,12.287126569490548,3.74512916726799,8,351,1477,35,205,7257,27528,4996,3046,2153,325,8019,3663,32981,222,29,216,39,40165,1118,1779,1355,575,36371,81.20883292026704,7509,16.76602585571706,907,2.0251412240158975,43184,95.52291629800035,375,0.8294992036807645,1602,3.543620598124226,47,0.10396390019465582,https://upload.wikimedia.org/wikipedia/commons/3/38/Escudo_de_Copiap%C3%B3.svg,-27.32051902,-69.82547165
3,31,3102,REGIÓN DE ATACAMA,COPIAPÓ,CALDERA,15651,15612,99.75081464443166,39,0.24918535556833432,17662,51.48907258521119,9094,48.51092741478881,8568,4.8,menor,106.1,48.6,33.7,14.9,3102,798,5.2701096288469165,1967,12.990357944789327,11182,73.84757627790253,1195,7.891956148461234,249,1.409806363945193,menor,2903,16.436417166798776,mayor,15464,39,5542,15503,5703,12621,81.61536471805483,70,0.4526642524573203,17.93197102948784,16,92,2457,67,141,729,2964,1165,516,46,56,1001,79,4271,31,15,51,15,4499,298,313,274,94,4035,74.22737306843267,1262,23.21559970566593,139,2.557027225901398,4750,86.37934169849063,12,0.2182214948172395,729,13.2569558101473,8,0.14548099654482632,https://upload.wikimedia.org/wikipedia/commons/f/ff/Caldera_logo.JPG,-27.14112269,-70.68213359
3,31,3103,REGIÓN DE ATACAMA,COPIAPÓ,TIERRA AMARILLA,4745,4705,99.15700737618546,40,0.8429926238145415,14019,55.61024324131536,7796,44.38975675868464,6223,1.2,mayor,125.3,43.1,32.2,10.9,3103,826,6.863315330286664,1702,14.142085583714167,8661,71.96510178645616,846,7.029497299543,379,2.7034738569084813,mayor,4213,30.052072187745203,mayor,4655,39,3768,4694,3858,4318,92.76047261009667,4,0.08592910848549946,7.153598281417828,4,41,263,2,23,156,1573,890,677,423,34,235,5,3455,12,16,13,5,2875,116,328,335,73,2169,58.4163748990035,1438,38.728790735254506,106,2.8548343657419877,2868,76.56166577682862,155,4.1377469300587295,666,17.77896422851041,57,1.5216230646022424,https://upload.wikimedia.org/wikipedia/commons/f/fa/Escudo_de_Tierra_Amarilla.svg,-27.8635434,-69.67069302
3,32,3201,REGIÓN DE ATACAMA,CHAÑARAL,CHAÑARAL,6153,6122,99.49618072484967,31,0.5038192751503331,12219,51.313528111956785,6270,48.68647188804321,5949,2.1,menor,105.4,54.2,37.2,17.0,3201,702,6.400437636761488,1445,13.174690007293947,7813,71.23450036469731,1008,9.190371991247265,91,0.7447417955642851,menor,1142,9.346100335543007,menor,6120,31,3686,6151,3750,5822,95.13071895424837,74,1.2091503267973858,3.6601307189542496,0,10,180,6,28,322,1798,1091,356,12,95,229,71,3265,31,3,59,5,3192,124,209,88,40,2830,77.8113830079736,671,18.449271377508936,136,3.7393456145174593,3332,90.93886462882097,4,0.10917030567685589,325,8.870087336244541,3,0.08187772925764192,https://upload.wikimedia.org/wikipedia/commons/e/ef/Escudo_de_Cha%C3%B1aral.svg,-26.3725371,-70.33797461
3,32,3202,REGIÓN DE ATACAMA,CHAÑARAL,DIEGO DE ALMAGRO,6914,6812,98.52473242695979,102,1.4752675730402083,13925,53.75942549371634,7486,46.24057450628366,6439,0.7,mayor,116.3,44.3,33.9,10.4,3202,618,5.141858723687495,1590,13.22905399783676,9185,76.42066727681171,626,5.208420001664032,220,1.5798922800718134,menor,1570,11.274685816876122,menor,6812,101,4515,6913,4595,6192,90.8984145625367,520,7.633587786259542,1.4679976512037598,0,35,30,1,34,381,2594,898,278,285,53,646,670,3111,5,1,29,5,4040,118,117,135,34,3563,80.55618358580149,762,17.228125706534026,98,2.215690707664481,4105,91.9167039856695,1,0.022391401701746527,347,7.769816390506046,13,0.2910882221227049,https://upload.wikimedia.org/wikipedia/commons/a/a3/Escudo_de_la_comuna_de_Diego_de_Almagro.svg,-26.23615268,-69.18603893
3,33,3301,REGIÓN DE ATACAMA,HUASCO,VALLENAR,19402,19339,99.67529120709206,63,0.32470879290794763,51917,48.96661979698364,25422,51.03338020301636,26495,7.2,menor,96.0,54.1,35.2,18.9,3301,3613,7.5211291061243175,5747,11.963445605562264,33032,68.76222990132813,5646,11.753195386985302,669,1.2885952578153592,menor,11953,23.023287169905814,mayor,19025,62,15452,19087,15926,17776,93.43495400788436,504,2.649145860709593,3.9159001314060475,12,77,514,20,122,2853,8187,2340,1036,784,184,4659,309,10032,92,30,180,35,12094,794,1174,889,340,10803,71.06301802394421,3859,25.384817787133272,540,3.5521641889225104,14227,92.73841340199466,139,0.9060687047780458,575,3.7481259370314843,400,2.607391956195815,https://upload.wikimedia.org/wikipedia/commons/d/df/Escudo_Vallenar.png,-28.59321099,-70.60172996
3,33,3302,REGIÓN DE ATACAMA,HUASCO,ALTO DEL CARMEN,2927,2903,99.18004783054322,24,0.8199521694567817,5299,55.199094168711085,2925,44.80090583128892,2374,0.9,mayor,123.2,55.4,30.0,25.4,3302,220,4.984141368373358,464,10.512007249660172,3031,68.66787494336202,699,15.83597643860444,46,0.8680883185506699,menor,2697,50.8963955463295,mayor,2895,24,1745,2919,1764,2530,87.39205526770294,4,0.1381692573402418,12.469775474956819,22,22,268,3,46,109,677,354,205,371,19,214,1,1437,13,31,27,7,779,258,276,241,178,595,34.552845528455286,921,53.484320557491294,206,11.962833914053427,1399,80.7270628967109,100,5.770340450086555,107,6.174264281592614,127,7.328332371609925,https://upload.wikimedia.org/wikipedia/commons/2/2a/Escudo_de_Alto_del_Carmen.svg,-28.99050037,-70.15642289
3,33,3303,REGIÓN DE ATACAMA,HUASCO,FREIRINA,3511,3498,99.62973511819995,13,0.370264881800057,7041,50.518392273824745,3557,49.481607726175255,3484,2.2,menor,102.1,55.7,35.9,19.7,3303,444,7.106274007682459,675,10.803457106274008,4380,70.10243277848912,749,11.987836107554417,22,0.31245561709984376,menor,980,13.918477488993041,menor,3498,12,2262,3510,2326,3044,87.02115494568325,0,0.0,12.97884505431675,1,19,410,3,21,205,1048,520,323,122,31,315,3,1886,8,2,23,3,1592,191,157,195,111,1347,60.3494623655914,752,33.691756272401435,133,5.958781362007168,1693,75.58035714285715,64,2.857142857142857,459,20.491071428571427,24,1.0714285714285714,https://upload.wikimedia.org/wikipedia/commons/5/51/Escudo_Freirina..svg,-28.81195667,-71.17882018
3,33,3304,REGIÓN DE ATACAMA,HUASCO,HUASCO,6226,6201,99.59845807902346,25,0.40154192097654995,10149,51.66026209478767,5243,48.33973790521234,4906,6.3,menor,106.9,51.7,33.6,18.1,3304,489,5.695981362842167,936,10.902737332556784,6217,72.41700640652302,943,10.984274898078043,107,1.054291063158932,menor,1274,12.552960882845602,menor,5987,25,3166,6012,3214,5217,87.13880073492567,186,3.106731251043928,9.754468014030408,4,18,522,8,32,419,1643,625,375,54,33,509,47,2489,29,1,48,6,2439,199,239,146,116,2168,69.64343077417283,793,25.473819466752328,152,4.882749759074848,2694,85.87822760599299,113,3.6021676761236856,319,10.168951227287216,11,0.35065349059611095,https://upload.wikimedia.org/wikipedia/commons/3/3b/Escudo_de_Huasco.svg,-28.24625868,-71.02809808
4,41,4101,REGIÓN DE COQUIMBO,ELQUI,LA SERENA,87464,87267,99.77476447452666,197,0.2252355254733376,221054,47.87789408922707,105836,52.12210591077293,115218,116.3,menor,91.9,47.5,31.3,16.2,4101,14692,6.998189959035915,25116,11.963418119462704,148601,70.782604553682,21531,10.255787367819376,4073,1.8425362128710634,menor,17408,7.87499886905462,menor,87035,195,67323,87230,69200,67904,78.01918768311599,17807,20.45958522433504,1.521227092548969,8,189,701,39,387,17765,38645,6848,2180,1490,118,23146,6825,36459,264,12,141,42,61364,1279,2505,1314,321,58333,87.72143523113478,7642,11.492074949622545,523,0.786489819242684,63545,95.05751768912025,1447,2.164579874044488,1334,1.995542192104594,523,0.7823602447306616,https://upload.wikimedia.org/wikipedia/commons/0/06/Escudo_de_La_Serena.svg,-29.7891138,-71.06082086
