FID;FID_1;REGION;PROVINCIA;COMUNA;NOM_REGION;NOM_PROVIN;NOM_COMUNA;TOTAL_VIVI;PARTICULAR;COLECTIVAS;TOTAL_PERS;POR_HOMBRES;HOMBRES;POR_MUJERES;MUJERES;DENSIDAD;MEDIA_MAS;INDICE_MAS;INDICE_DEP;IND_DEP_JU;IND_DEP_VE;Shape__Are;Shape__Len
0;1;15;151;15101;REGIÓN DE ARICA Y PARINACOTA;ARICA;ARICA;72639;72414;225;221364;49.4;109389;50.6;111975;46.2;menor;97.7;48.9;32.7;16.2;5362875727;385226.6223
1;2;15;151;15102;REGIÓN DE ARICA Y PARINACOTA;ARICA;CAMARONES;948;927;21;1255;57.8;726;42.2;529;0.3;mayor;137.2;46.8;22.7;24.1;4424111595;415486.3247
2;3;15;152;15201;REGIÓN DE ARICA Y PARINACOTA;PARINACOTA;PUTRE;1917;1875;42;2765;74.3;2054;25.7;711;0.5;mayor;288.9;21.3;11;10.3;6578891021;436546.3555
3;4;15;152;15202;REGIÓN DE ARICA Y PARINACOTA;PARINACOTA;GENERAL LAGOS;697;686;11;684;60.2;412;39.8;272;0.3;mayor;151.5;41.9;21.4;20.5;2504779645;258714.9083
4;5;1;11;1101;REGIÓN DE TARAPACÁ;IQUIQUE;IQUIQUE;66986;66725;261;191468;49.6;94897;50.4;96571;83.7;menor;98.3;43.8;30.5;13.3;2636780105;439871.4564
5;6;1;11;1107;REGIÓN DE TARAPACÁ;IQUIQUE;ALTO HOSPICIO;33178;33162;16;108375;50.0;54206;50.0;54169;188.9;menor;100.1;48.3;42;6.3;655223786.2;109555.1235
6;7;1;14;1401;REGIÓN DE TARAPACÁ;TAMARUGAL;POZO ALMONTE;8926;8884;42;15711;57.2;8987;42.8;6724;1.1;mayor;133.7;43.3;33;10.3;15843650928;770446.2941
7;8;1;14;1402;REGIÓN DE TARAPACÁ;TAMARUGAL;CAMIÑA;1092;1088;4;1250;52.6;657;47.4;593;0.6;menor;110.8;60.5;35.3;25.2;2486391362;242555.6387
8;9;1;14;1403;REGIÓN DE TARAPACÁ;TAMARUGAL;COLCHANE;2030;2025;5;1728;57.6;995;42.4;733;0.4;mayor;135.7;36.4;19.9;16.5;4528236010;353257.6982
9;10;1;14;1404;REGIÓN DE TARAPACÁ;TAMARUGAL;HUARA;2871;2863;8;2730;55.0;1501;45.0;1229;0.3;mayor;122.1;58.5;36.1;22.5;11867326724;708182.8028
10;11;1;14;1405;REGIÓN DE TARAPACÁ;TAMARUGAL;PICA;2726;2703;23;9296;70.5;6550;29.5;2746;1;mayor;238.5;25.1;15.7;9.5;10298034750;691138.3181
