FID,idZonGlac,Nombre_Gla,SUM_Shape_,niev_17q1,niev_18q1,niev_19q1,niev_20q1,niev_21q1,niev_17q2,niev_18q2,niev_19q2,niev_20q2,q1_SN,Porc_SNq1,q1_Max,q1_Max_sum,q1_Min,q2_SN,Porc_SNq2,q2_Max,q2_Max_sum,q2_Min,SN_1718q1,G_1718q1,P_1718q1,SC_1718q1,SN_1819q1,G_1819q1,P_1819q1,SC_1819q1,SN_1920q1,G_1920q1,P_1920q1,SC_1920q1,SN_2021q1,G_2021q1,P_2021q1,SC_2021q1,SN_1718q2,G_1718q2,P_1718q2,SC_1718q2,SN_1819q2,G_1819q2,P_1819q2,SC_1819q2,SN_1920q2,G_1920q2,P_1920q2,SC_1920q2
0,2,Complejo Glaciar PALENA || Lago Palena hasta frontera-1,836.4121067,178.9336909392,159.8883464018,181.9374324054,172.3092232736,172.5690063193,283.8454502969,464.65445009700005,634.4226704558,661.2452699233,545.1871942610001,65.18164788551357,246.672120103,291.2249124388,44.5527923358,107.73689998,12.880839375349037,654.628920478,728.6752067198,74.0462862418,580.493333815,76.9850819462,96.0304264834,82.9032644558,602.160863469,74.3628968288,52.3138108258,107.57453557599999,604.685629944,49.7890443505,59.4172534814,122.520178924,621.4010452910001,42.7018381353,42.4420550896,129.867168184,344.918820695,207.647835708,26.838835907900002,257.006614389,263.45248121000003,108.30517539200001,102.882204313,361.772245784,127.740194498,74.2492417463,47.4266422788,586.996028177
1,7,Complejo Glaciar PALENA || Lago Palena hasta frontera-2,400.44226904600004,97.1123453939,61.572150093800005,73.72743279059999,53.939574452399995,56.2049878609,154.7545310085,221.7831607101,330.2063336227,328.9558903793,266.320051553,66.50647849625659,120.15622802200001,134.1222174934,13.965989471399999,33.9568418426,8.479834539819588,336.320513898,366.48542720390003,30.1649133059,280.651430284,22.6784933683,58.218688668400006,38.8936567255,300.211935305,38.6581836472,26.502900950300003,35.069249143499995,310.272319581,16.4425166741,36.2303750123,37.497057778300004,326.414405086,20.0882895071,17.822876098600002,36.1166983538,152.935704473,92.7520335647,25.7234038635,129.031127145,103.250884952,75.408223384,48.0527474951,173.730413215,42.8966990565,27.3392363663,28.589679609700003,301.616654013
2,15,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-1,43.4294926733,9.10422256339,6.27486043105,8.25298180724,7.11799413238,7.22338584504,19.29479047269,22.3592571949,34.195557232809996,26.266857618387004,28.536832968099997,65.70841889121156,13.830635523700002,14.892659705180002,1.06202418148,6.58292851423,15.157737539672242,32.7606085296,36.84656415912,4.08595562952,30.814915372599998,3.5103547372699997,6.33971686961,2.76450569378,33.7983115466,3.35632069568,1.37819931948,4.896661111569999,33.563206956799995,1.61330390928,2.74829158414,5.5046902231,33.1740683254,3.13743021552,3.0320385028600003,4.08595562952,16.7572823139,7.377419886629999,4.3129531644900005,14.981837308200001,15.1520854595,5.9181500189500005,5.5046902231,16.8545669718,9.12043667304,0.11349876748700001,8.04219838191,26.1533588509
3,18,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-2,3.10845021502,0.0,0.1060626057619,0.277394507377,0.465043732956,0.106062605762,0.375298451158,0.4568850709738,1.2156406352684,1.5583044384990001,2.6270891581,84.51443569550935,0.481361056919,0.481361056919,0.0,1.4848764806699999,47.769028871528704,1.60725641039,1.6235737343534,0.0163173239634,3.00238760926,0.106062605762,0.0,0.0,2.81473838368,0.187649225579,0.0163173239634,0.0897452817985,2.64340648206,0.187649225579,0.0,0.277394507377,2.64340648206,0.0,0.358981127194,0.106062605762,2.51286789036,0.22028387350500003,0.138697253689,0.236601197469,2.0070308474900003,0.644534296553,0.0815866198168,0.375298451157,1.50935246661,0.383457113139,0.0407933099084,1.17484732536
4,26,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-3,210.66985209900002,40.6100792234,61.1420813537,59.553343723409995,68.9479708331,58.02134672273,86.715893719,96.0699918075,144.46164309739999,132.22187870070002,124.39977761299998,59.0496344747709,61.1258697452,86.2700744859,25.1442047407,42.8310695841,20.330896498646805,137.80677782,167.8387825151,30.0320046951,137.40959341200002,32.6501794634,12.1181773331,28.4919018903,138.15532740199998,11.3724433434,12.9611809737,48.18090038,135.966760258,15.1497481175,5.75512100771,53.7982227157,137.125890264,4.59599100193,15.522615112299999,53.4253557208,93.0059978062,30.9479605738,21.593862485299997,65.1220312337,92.3170044462,22.282855845300002,25.419802084700002,70.6501897228,54.000867821599996,12.2073411797,24.4471055764,120.014537521
5,28,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-4,5.47775871266,0.0,2.1911034850610003,0.68676377890063,1.9458307068819998,1.3326487614353,0.0,0.0,0.6785880196279,1.111903261077,3.1149642828700004,56.8656716417758,2.36279442979,2.36279442979,0.0,3.39294009814,61.94029850745996,2.08481861452,2.08481861452,0.0,3.2866552276000003,2.19110348506,0.0,0.0,3.2866552276000003,0.0,1.5043397061600001,0.686763778901,3.5237522465,1.26724268726,0.00817575927263,0.678588019628,3.51557648723,0.0163515185453,0.6295334639919999,1.3162972428900002,5.47775871266,0.0,0.0,0.0,4.74194037812,0.735818334536,0.0,0.0,4.34132817376,0.457842519267,0.0245272778179,0.6540607418100001
6,31,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-5,183.473631777,8.80140801196,17.0263400379,11.724384842500001,18.36603775188,14.10336320734,61.2201258397,70.8903075207,140.6844987298,143.64807246069998,155.59979994600002,84.80771783877981,25.649121688,27.87383183124,2.22471014324,18.3335602316,9.99247687748571,155.786545688,165.14007154573,9.35352585773,161.05602336299998,13.616200402299999,5.39126837633,3.4101396356299998,164.027716474,2.41957526528,7.7215304606799995,9.30480957722,163.215778465,8.53346846916,1.89181555977,9.832569282729999,162.826048221,2.28154580384,6.5442203483800006,11.8218174035,95.9304757023,26.323030235,16.652848554,44.5672772857,79.9434163153,32.639907941,14.728555473900002,56.1617520468,25.3974209054,17.391712141699998,14.428138410799999,126.256360319
7,32,Complejo Glaciar PALENA || Lago Palena hasta frontera-3,4.14333503942,0.041104514280000004,1.290681748391,1.035833759855,1.101600982703,0.633009519911,0.254847988536,0.8385320913109999,2.0881093254239,2.540258982503,2.6142471082100003,63.095238095347284,1.52908793121,1.52908793121,0.0,1.4797625140800001,35.71428571432019,2.6471307196300002,2.6635725253420004,0.016441805711999997,2.81154877675,1.29068174839,0.041104514280000004,0.0,2.6471307196300002,0.20552257140000002,0.46037055993599996,0.8303111884550001,2.85265329103,0.254847988536,0.189080765688,0.846752994167,2.9924086395800003,0.049325417136,0.517916879928,0.5836841027749999,3.26369843383,0.624788617055,0.041104514280000004,0.213743474256,2.34295731396,0.961845634151,0.24662708567999997,0.591905005631,1.52908793121,0.5261377827829999,0.07398812570390001,2.01412119972
8,33,Complejo Glaciar PALENA || Rio Palena entre arriba Rio Tranquilo y Rio Frio-6,30.97585528,4.15165309359,8.57792915446,6.78480272104,8.14176326525,8.46484910911,8.965632167095,14.43386007441,22.583700485791002,27.583453919510003,19.070141933800002,61.564537157793694,10.0560468901,11.90571334619,1.84966645609,2.85930971815,9.230769230756813,25.3299301586,28.11654556189,2.7866154032900003,21.0732741657,5.75092802069,1.32465195982,2.82700113377,20.4028710397,1.99505508583,3.7881815192499997,4.7897476352099995,21.299434256399998,2.89161830254,1.53465775833,5.25014496271,20.9440398282,1.8900521865800002,1.56696634272,6.574796922529999,16.0492892937,5.9609338192,0.492705911885,8.47292625521,8.521389131789999,8.0206060738,2.50391528991,11.9299447845,3.1420098315300002,5.25014496271,0.250391528991,22.3333089568
9,38,Complejo Glaciar PALENA || Lago Palena hasta frontera-4,1.90434204918,0.890872460775,0.28605996446869997,0.8173141841970001,0.433176517625,0.686543914726,0.8254873260390001,1.209624992612,1.5774163754978001,1.5692432336558,0.711063340252,37.33905579400404,1.13606671603,1.1932787089238,0.0572119928938,0.09807770210370001,5.150214592275152,1.5038580989199999,1.8062643470729998,0.302406248153,0.923565028143,0.0899045602617,0.6947170565680001,0.196155404207,0.988950162879,0.629331921832,0.09807770210370001,0.18798226236499999,0.890872460775,0.196155404207,0.58029307078,0.23702111341700002,1.1033741486700002,0.367791382889,0.114423985788,0.31875253183700003,0.514907936044,0.563946787096,0.179809120523,0.645678205516,0.40865709209900003,0.286059964469,0.38413766657299997,0.8254873260390001,0.261540538943,0.0653851347358,0.0735582765778,1.5038580989199999
