FID,FID_1,REGION,PROVINCIA,COMUNA,NOM_REGION,NOM_PROVIN,NOM_COMUNA,TOTAL_VIVI,PARTICULAR,COLECTIVAS,TOTAL_PERS,HOMBRES,MUJERES,DENSIDAD,INDICE_MAS,INDICE_DEP,IND_DEP_JU,IND_DEP_VE,Shape__Are,Shape__Len
0,1,15,151,15101,REGIÓN DE ARICA Y PARINACOTA,ARICA,ARICA,72639,72414,225,221364,109389,111975,46.2,97.7,48.9,32.7,16.2,5362875726.93359,385226.622317739
1,2,15,151,15102,REGIÓN DE ARICA Y PARINACOTA,ARICA,CAMARONES,948,927,21,1255,726,529,0.3,137.2,46.8,22.7,24.1,4424111594.96875,415486.324743516
2,3,15,152,15201,REGIÓN DE ARICA Y PARINACOTA,PARINACOTA,PUTRE,1917,1875,42,2765,2054,711,0.5,288.9,21.3,11.0,10.3,6578891020.75098,436546.355520109
3,4,15,152,15202,REGIÓN DE ARICA Y PARINACOTA,PARINACOTA,GENERAL LAGOS,697,686,11,684,412,272,0.3,151.5,41.9,21.4,20.5,2504779645.1875,258714.908276627
4,5,1,11,1101,REGIÓN DE TARAPACÁ,IQUIQUE,IQUIQUE,66986,66725,261,191468,94897,96571,83.7,98.3,43.8,30.5,13.3,2636780105.06055,439871.456402166
5,6,1,11,1107,REGIÓN DE TARAPACÁ,IQUIQUE,ALTO HOSPICIO,33178,33162,16,108375,54206,54169,188.9,100.1,48.3,42.0,6.3,655223786.244141,109555.123531906
6,7,1,14,1401,REGIÓN DE TARAPACÁ,TAMARUGAL,POZO ALMONTE,8926,8884,42,15711,8987,6724,1.1,133.7,43.3,33.0,10.3,15843650927.749,770446.294130893
7,8,1,14,1402,REGIÓN DE TARAPACÁ,TAMARUGAL,CAMIÑA,1092,1088,4,1250,657,593,0.6,110.8,60.5,35.3,25.2,2486391362.34473,242555.63865905
8,9,1,14,1403,REGIÓN DE TARAPACÁ,TAMARUGAL,COLCHANE,2030,2025,5,1728,995,733,0.4,135.7,36.4,19.9,16.5,4528236010.1084,353257.698220063
9,10,1,14,1404,REGIÓN DE TARAPACÁ,TAMARUGAL,HUARA,2871,2863,8,2730,1501,1229,0.3,122.1,58.5,36.1,22.5,11867326724.3828,708182.802786418
10,11,1,14,1405,REGIÓN DE TARAPACÁ,TAMARUGAL,PICA,2726,2703,23,9296,6550,2746,1.0,238.5,25.1,15.7,9.5,10298034749.5605,691138.318078825
11,12,2,21,2101,REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,112451,112275,176,361873,181846,180027,11.8,101.0,40.8,29.7,11.1,37127444667.6582,1236881.7535023
12,13,2,21,2102,REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,MEJILLONES,4216,3976,240,13467,8035,5432,3.8,147.9,33.7,26.2,7.5,4230302435.14844,383072.076235991
13,14,2,21,2103,REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,SIERRA GORDA,570,527,43,10186,8662,1524,0.8,568.4,4.6,3.3,1.3,15344048414.2598,583905.195170562
14,15,2,21,2104,REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,TALTAL,4593,4548,45,13317,7481,5836,0.7,128.2,43.6,30.5,13.1,25089241898.0098,859635.692022721
15,16,2,22,2201,REGIÓN DE ANTOFAGASTA,EL LOA,CALAMA,57307,56963,344,165731,86049,79682,10.6,108.0,40.8,31.4,9.4,18278099852.2598,703500.091172613
16,17,2,22,2202,REGIÓN DE ANTOFAGASTA,EL LOA,OLLAGÜE,439,427,12,321,207,114,0.1,181.6,34.3,24.3,10.0,3388897013.38281,308997.730446242
17,18,2,22,2203,REGIÓN DE ANTOFAGASTA,EL LOA,SAN PEDRO DE ATACAMA,4144,3972,172,10996,6161,4835,0.5,127.4,29.5,21.2,8.3,28098847866.6289,785747.280212988
18,19,2,23,2301,REGIÓN DE ANTOFAGASTA,TOCOPILLA,TOCOPILLA,10670,10620,50,25186,12481,12705,6.2,98.2,52.8,36.6,16.2,4714545312.5,432838.429178111
19,20,2,23,2302,REGIÓN DE ANTOFAGASTA,TOCOPILLA,MARÍA ELENA,1959,1865,94,6457,4092,2365,0.5,173.0,25.2,19.4,5.8,14561258605.1855,637254.833443743
20,21,3,31,3101,REGIÓN DE ATACAMA,COPIAPÓ,COPIAPÓ,55565,55453,112,153937,76627,77310,8.7,99.1,46.8,33.8,13.0,22623871504.3516,1392631.04437452
21,22,3,31,3102,REGIÓN DE ATACAMA,COPIAPÓ,CALDERA,15651,15612,39,17662,9094,8568,4.8,106.1,48.6,33.7,14.9,4667094790.28711,555113.070805416
22,23,3,31,3103,REGIÓN DE ATACAMA,COPIAPÓ,TIERRA AMARILLA,4745,4705,40,14019,7796,6223,1.2,125.3,43.1,32.2,10.9,14462008002.1602,749082.454078336
23,24,3,32,3201,REGIÓN DE ATACAMA,CHAÑARAL,CHAÑARAL,6153,6122,31,12219,6270,5949,2.1,105.4,54.2,37.2,17.0,7222324856.48047,501721.078109166
24,25,3,32,3202,REGIÓN DE ATACAMA,CHAÑARAL,DIEGO DE ALMAGRO,6914,6812,102,13925,7486,6439,0.7,116.3,44.3,33.9,10.4,23699974503.5625,938016.517040725
25,26,3,33,3301,REGIÓN DE ATACAMA,HUASCO,VALLENAR,19402,19339,63,51917,25422,26495,7.2,96.0,54.1,35.2,18.9,9410173105.23242,712645.75665918
26,27,3,33,3302,REGIÓN DE ATACAMA,HUASCO,ALTO DEL CARMEN,2927,2903,24,5299,2925,2374,0.9,123.2,55.4,30.0,25.4,8078731142.50391,527155.309278641
27,28,3,33,3303,REGIÓN DE ATACAMA,HUASCO,FREIRINA,3511,3498,13,7041,3557,3484,2.2,102.1,55.7,35.9,19.7,4212751840.83398,490348.225809142
28,29,3,33,3304,REGIÓN DE ATACAMA,HUASCO,HUASCO,6226,6201,25,10149,5243,4906,6.3,106.9,51.7,33.6,18.1,2071849105.79688,358767.281468124
29,30,4,41,4101,REGIÓN DE COQUIMBO,ELQUI,LA SERENA,87464,87267,197,221054,105836,115218,116.3,91.9,47.5,31.3,16.2,2532762458.81836,306997.851422263
30,31,4,41,4102,REGIÓN DE COQUIMBO,ELQUI,COQUIMBO,89499,89339,160,227730,109872,117858,159.8,93.2,49.2,33.4,15.8,1915023875.85547,325049.699900462
31,32,4,41,4103,REGIÓN DE COQUIMBO,ELQUI,ANDACOLLO,4506,4491,15,11044,5519,5525,21.5,99.9,55.8,34.6,21.2,692011215.634766,150059.637043837
32,33,4,41,4104,REGIÓN DE COQUIMBO,ELQUI,LA HIGUERA,2660,2643,17,4241,2236,2005,1.0,111.5,56.3,35.4,20.9,5499324394.84766,531925.626570386
33,34,4,41,4105,REGIÓN DE COQUIMBO,ELQUI,PAIGUANO,2373,2348,25,4497,2240,2257,3.0,99.2,49.9,28.1,21.8,2035479422.70703,241573.386258598
34,35,4,41,4106,REGIÓN DE COQUIMBO,ELQUI,VICUÑA,10779,10733,46,27771,13792,13979,3.7,98.7,52.0,33.2,18.8,10121549267.1426,684220.659640713
35,36,4,42,4201,REGIÓN DE COQUIMBO,CHOAPA,ILLAPEL,12320,12285,35,30848,14739,16109,11.7,91.5,56.0,34.2,21.8,3629461984.70313,418774.86152017
36,37,4,42,4202,REGIÓN DE COQUIMBO,CHOAPA,CANELA,5278,5270,8,9093,4632,4461,4.1,103.8,62.0,29.6,32.4,3023150715.03125,354071.937930613
37,38,4,42,4203,REGIÓN DE COQUIMBO,CHOAPA,LOS VILOS,13288,13237,51,21382,11061,10321,11.5,107.2,51.5,31.7,19.7,2590511814.29688,339525.33769024
38,39,4,42,4204,REGIÓN DE COQUIMBO,CHOAPA,SALAMANCA,10697,10612,85,29347,15712,13635,8.5,115.2,47.4,28.9,18.5,4794187013.01172,437599.433832813
39,40,4,43,4301,REGIÓN DE COQUIMBO,LIMARÍ,OVALLE,42095,42039,56,111272,53619,57653,31.3,93.0,52.4,34.1,18.3,4812124884.6875,561741.850236728
40,41,4,43,4302,REGIÓN DE COQUIMBO,LIMARÍ,COMBARBALÁ,6999,6980,19,13322,6656,6666,5.8,99.8,59.3,29.2,30.1,3144702788.44922,328965.483897992
41,42,4,43,4303,REGIÓN DE COQUIMBO,LIMARÍ,MONTE PATRIA,13074,13043,31,30751,15270,15481,7.3,98.6,55.0,34.5,20.5,5731217022.60547,442605.583591278
42,43,4,43,4304,REGIÓN DE COQUIMBO,LIMARÍ,PUNITAQUI,4812,4806,6,10956,5452,5504,10.0,99.1,60.3,36.4,23.9,1489514351.7207,268506.200045376
43,44,4,43,4305,REGIÓN DE COQUIMBO,LIMARÍ,RÍO HURTADO,2764,2751,13,4278,2138,2140,1.9,99.9,59.6,28.1,31.4,2976173995.95508,362741.379661759
44,45,5,51,5101,REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,117196,116835,361,296655,144945,151710,935.3,95.5,45.2,25.8,19.4,452071490.671875,167384.228818894
45,46,5,51,5102,REGIÓN DE VALPARAÍSO,VALPARAÍSO,CASABLANCA,11606,11588,18,26867,13346,13521,28.1,98.7,47.5,29.6,17.9,1370067308.10938,243996.512222503
46,47,5,51,5103,REGIÓN DE VALPARAÍSO,VALPARAÍSO,CONCÓN,20290,20266,24,42152,20321,21831,549.9,93.1,45.1,28.2,16.8,109192602.236328,57332.818380333
47,48,5,51,5104,REGIÓN DE VALPARAÍSO,VALPARAÍSO,JUAN FERNÁNDEZ,445,438,7,926,499,427,8.7,116.9,41.4,29.2,12.2,150532370.107422,142974.467386178
48,49,5,51,5105,REGIÓN DE VALPARAÍSO,VALPARAÍSO,PUCHUNCAVÍ,17451,17436,15,18546,9358,9188,61.7,101.9,52.2,30.3,21.9,425977614.912109,123980.405925271
49,50,5,51,5107,REGIÓN DE VALPARAÍSO,VALPARAÍSO,QUINTERO,17442,17417,25,31923,15834,16089,218.4,98.4,51.7,31.5,20.2,207524809.361328,91870.513330977
50,51,5,51,5109,REGIÓN DE VALPARAÍSO,VALPARAÍSO,VIÑA DEL MAR,147117,146844,273,334248,158669,175579,2772.2,90.4,45.7,24.1,21.6,172001380.007813,72706.6273447385
51,52,5,52,5201,REGIÓN DE VALPARAÍSO,ISLA DE PASCUA,ISLA DE PASCUA,3136,3022,114,7750,3819,3931,31.5,97.2,37.6,29.1,8.4,207903357.746094,87393.7209619135
52,53,5,53,5301,REGIÓN DE VALPARAÍSO,LOS ANDES,LOS ANDES,23661,23581,80,66708,33289,33419,54.1,99.6,46.9,29.2,17.7,1757398388.80469,271270.831227597
53,54,5,53,5302,REGIÓN DE VALPARAÍSO,LOS ANDES,CALLE LARGA,5488,5484,4,14832,7328,7504,46.0,97.7,51.5,34.3,17.2,458933999.835938,119394.596202205
54,55,5,53,5303,REGIÓN DE VALPARAÍSO,LOS ANDES,RINCONADA,3634,3622,12,10207,5134,5073,82.9,101.2,51.7,35.1,16.6,175026759.419922,69098.9258149822
55,56,5,53,5304,REGIÓN DE VALPARAÍSO,LOS ANDES,SAN ESTEBAN,7323,7317,6,18855,9303,9552,13.7,97.4,50.9,32.9,18.0,1946417524.82617,220295.877799611
56,57,5,54,5401,REGIÓN DE VALPARAÍSO,PETORCA,LA LIGUA,17309,17285,24,35390,17340,18050,30.4,96.1,51.0,30.5,20.5,1636332009.49805,253834.597472476
57,58,5,54,5402,REGIÓN DE VALPARAÍSO,PETORCA,CABILDO,7064,7052,12,19388,9467,9921,13.3,95.4,52.8,33.7,19.1,2049622739.3457,298882.757210398
58,59,5,54,5403,REGIÓN DE VALPARAÍSO,PETORCA,PAPUDO,5823,5814,9,6356,3341,3015,38.1,110.8,42.4,24.8,17.6,234596116.798828,82471.2920014586
59,60,5,54,5404,REGIÓN DE VALPARAÍSO,PETORCA,PETORCA,4446,4435,11,9826,4889,4937,6.5,99.0,51.7,29.1,22.6,2123642732.90039,256687.216670784
60,61,5,54,5405,REGIÓN DE VALPARAÍSO,PETORCA,ZAPALLAR,6961,6954,7,7339,3704,3635,25.4,101.9,48.8,27.0,21.8,408040672.052734,115527.977148862
61,62,5,55,5501,REGIÓN DE VALPARAÍSO,QUILLOTA,QUILLOTA,33118,33068,50,90517,43537,46980,300.2,92.7,49.9,30.0,19.8,428803372.8125,105623.430859799
62,63,5,55,5502,REGIÓN DE VALPARAÍSO,QUILLOTA,CALERA,18106,18093,13,50554,24462,26092,852.4,93.8,50.7,31.0,19.7,84013059.6601563,66716.071641977
63,64,5,55,5503,REGIÓN DE VALPARAÍSO,QUILLOTA,HIJUELAS,6596,6589,7,17988,9037,8951,66.9,101.0,48.1,30.6,17.5,382230816.396484,107612.961530449
64,65,5,55,5504,REGIÓN DE VALPARAÍSO,QUILLOTA,LA CRUZ,8064,8061,3,22098,10656,11442,282.8,93.1,49.7,34.2,15.4,111108703.595703,57173.0938668563
65,66,5,55,5506,REGIÓN DE VALPARAÍSO,QUILLOTA,NOGALES,7690,7681,9,22120,10799,11321,54.6,95.4,52.2,32.0,20.1,573579477.873047,122642.424240531
66,67,5,56,5601,REGIÓN DE VALPARAÍSO,SAN ANTONIO,SAN ANTONIO,32493,32410,83,91350,44713,46637,229.2,95.9,49.6,30.6,19.0,576533852.886719,148715.271608971
67,68,5,56,5602,REGIÓN DE VALPARAÍSO,SAN ANTONIO,ALGARROBO,19956,19944,12,13817,6734,7083,78.7,95.1,58.4,27.8,30.6,252180955.826172,87074.7899735934
