FID,FID_1,REGION,PROVINCIA,COMUNA,NOM_REGION,NOM_PROVIN,NOM_COMUNA,TOTAL_VIVI,PARTICULAR,COLECTIVAS,TOTAL_PERS,HOMBRES,MUJERES,DENSIDAD,INDICE_MAS,INDICE_DEP,IND_DEP_JU,IND_DEP_VE,Shape__Are,Shape__Len
68,69,5,56,5603,REGIÓN DE VALPARAÍSO,SAN ANTONIO,CARTAGENA,15778,15758,20,22738,11265,11473,93.0,98.2,58.4,32.0,26.4,352543421.880859,109229.131752318
69,70,5,56,5604,REGIÓN DE VALPARAÍSO,SAN ANTONIO,EL QUISCO,18312,18260,52,15955,7826,8129,315.0,96.3,63.6,29.3,34.3,72809579.984375,50235.9747480745
70,71,5,56,5605,REGIÓN DE VALPARAÍSO,SAN ANTONIO,EL TABO,20596,20568,28,13286,6682,6604,134.2,101.2,61.3,27.8,33.5,142687727.025391,72091.6556534632
71,72,5,56,5606,REGIÓN DE VALPARAÍSO,SAN ANTONIO,SANTO DOMINGO,7828,7820,8,10900,5428,5472,20.5,99.2,51.1,30.9,20.2,771919876.835938,145674.803174991
72,73,5,57,5701,REGIÓN DE VALPARAÍSO,SAN FELIPE DE ACONCAGUA,SAN FELIPE,27708,27672,36,76844,37219,39625,411.2,93.9,49.3,31.9,17.4,264713670.255859,113645.973350217
73,74,5,57,5702,REGIÓN DE VALPARAÍSO,SAN FELIPE DE ACONCAGUA,CATEMU,5171,5164,7,13998,6982,7016,38.8,99.5,52.0,31.8,20.2,511378437.160156,111602.032719716
74,75,5,57,5703,REGIÓN DE VALPARAÍSO,SAN FELIPE DE ACONCAGUA,LLAILLAY,8927,8913,14,24608,12216,12392,70.5,98.6,51.1,32.5,18.6,496434423.960938,116252.446367533
75,76,5,57,5704,REGIÓN DE VALPARAÍSO,SAN FELIPE DE ACONCAGUA,PANQUEHUE,2514,2509,5,7273,3677,3596,60.1,102.3,49.7,32.3,17.5,171872797.371094,66678.9991525525
76,77,5,57,5705,REGIÓN DE VALPARAÍSO,SAN FELIPE DE ACONCAGUA,PUTAENDO,6337,6312,25,16754,8358,8396,11.5,99.5,53.2,30.4,22.8,2045289013.10156,265557.479928449
77,78,5,57,5706,REGIÓN DE VALPARAÍSO,SAN FELIPE DE ACONCAGUA,SANTA MARÍA,5587,5584,3,15241,7586,7655,92.0,99.1,49.7,31.0,18.6,234560072.449219,90401.8351816183
78,79,5,58,5801,REGIÓN DE VALPARAÍSO,MARGA MARGA,QUILPUÉ,56851,56819,32,151708,71746,79962,283.0,89.7,49.4,27.5,21.9,766337794.625,191961.04952026
79,80,5,58,5802,REGIÓN DE VALPARAÍSO,MARGA MARGA,LIMACHE,16710,16683,27,46121,22353,23768,156.2,94.0,52.2,30.9,21.3,421179751.804688,140932.543457636
80,81,5,58,5803,REGIÓN DE VALPARAÍSO,MARGA MARGA,OLMUÉ,9090,9085,5,17516,8597,8919,75.7,96.4,53.6,29.3,24.3,329842005.251953,83271.9292282349
81,82,5,58,5804,REGIÓN DE VALPARAÍSO,MARGA MARGA,VILLA ALEMANA,44982,44937,45,126548,59756,66792,1318.0,89.5,49.3,29.8,19.5,136992830.880859,60159.7374845581
82,83,13,131,13101,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,SANTIAGO,193628,193263,365,404495,206678,197817,17485.2,104.5,24.4,15.2,9.2,33366985.8046875,28964.173310866
83,84,13,131,13102,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,CERRILLOS,24547,24531,16,80832,39631,41201,4818.8,96.2,47.0,29.5,17.5,24197898.515625,25050.8820566956
84,85,13,131,13103,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,CERRO NAVIA,38020,38016,4,132622,65438,67184,11949.6,97.4,47.4,29.2,18.2,16101300.7402344,19750.0827322275
85,86,13,131,13104,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,CONCHALÍ,37759,37735,24,126955,61877,65078,11427.9,95.1,47.8,27.5,20.3,15905959.1210938,16776.2038814353
86,87,13,131,13105,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,EL BOSQUE,47941,47892,49,162505,79372,83133,11344.6,95.5,48.2,30.1,18.1,20556192.9648438,18499.7131181706
87,88,13,131,13106,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,ESTACIÓN CENTRAL,52486,52413,73,147041,73458,73583,10244.4,99.8,39.2,22.7,16.5,20762011.6152344,22529.2921648989
88,89,13,131,13107,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,HUECHURABA,28945,28939,6,98671,48122,50549,2197.5,95.2,48.9,34.7,14.2,64682843.0742188,38454.1463746597
89,90,13,131,13108,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,INDEPENDENCIA,36666,36612,54,100281,49186,51095,13627.2,96.3,38.4,23.2,15.2,10657655.7441406,13645.157182979
90,91,13,131,13109,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA CISTERNA,31480,31421,59,90119,43147,46972,9030.7,91.9,47.4,26.2,21.2,14552391.0683594,15270.0703901741
91,92,13,131,13110,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA FLORIDA,120035,119960,75,366916,175693,191223,5180.7,91.9,45.3,26.6,18.6,102326496.041016,58877.6197823841
92,93,13,131,13111,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA GRANJA,34423,34403,20,116571,57025,59546,11553.6,95.8,45.5,28.2,17.4,14638991.1699219,16953.265045127
93,94,13,131,13112,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA PINTANA,50042,50012,30,177335,87044,90291,5823.6,96.4,48.5,34.9,13.6,44102900.3769531,31888.3678492358
94,95,13,131,13113,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA REINA,29801,29732,69,92787,43599,49188,3958.8,88.6,48.7,26.5,22.2,33685680.4960938,28281.8266752365
95,96,13,131,13114,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LAS CONDES,118007,117901,106,294838,135917,158921,2977.0,85.5,44.7,22.1,22.6,142733761.398438,61357.3481655205
96,97,13,131,13115,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LO BARNECHEA,31225,31195,30,105833,50500,55333,103.4,91.3,44.6,33.6,11.0,1469094240.56836,177255.593974725
97,98,13,131,13116,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LO ESPEJO,26774,26762,12,98804,49146,49658,11986.6,99.0,45.8,28.7,17.1,11704346.7792969,13747.2051236313
98,99,13,131,13117,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LO PRADO,29526,29516,10,96249,46799,49450,14672.9,94.6,48.7,27.0,21.6,9445860.59765625,12768.2584314717
99,100,13,131,13118,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,MACUL,43121,43085,36,116534,55161,61373,9074.2,89.9,45.8,24.4,21.4,18520195.4335938,18281.4245979989
100,101,13,131,13119,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,MAIPÚ,161354,161301,53,521627,250792,270835,3788.7,92.6,40.3,27.1,13.2,198389205.4375,73181.7877851049
101,102,13,131,13120,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,ÑUÑOA,92248,92121,127,208237,95409,112828,12353.0,84.6,41.8,21.1,20.7,24312289.921875,21168.7374012014
102,103,13,131,13121,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,PEDRO AGUIRRE CERDA,29906,29890,16,101174,49513,51661,11553.8,95.8,47.2,26.3,20.9,12650067.0878906,15593.0082391776
103,104,13,131,13122,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,PEÑALOLÉN,70394,70376,18,241599,116882,124717,4506.9,93.7,44.2,29.3,14.9,77268398.5214844,43484.8729552126
104,105,13,131,13123,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,PROVIDENCIA,70965,70738,227,142079,65710,76369,9873.1,86.0,39.2,17.4,21.8,20543805.6523438,19164.557024241
105,106,13,131,13124,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,PUDAHUEL,68940,68918,22,230293,112412,117881,1167.5,95.4,41.5,29.5,12.0,283968135.449219,85102.0186923496
106,107,13,131,13125,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,QUILICURA,62470,62461,9,210410,103456,106954,3670.7,96.7,39.3,31.7,7.6,82393986.5253906,41289.8441858439
107,108,13,131,13126,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,QUINTA NORMAL,38989,38951,38,110026,53669,56357,9311.9,95.2,43.9,25.2,18.7,16872413.3671875,20954.3838997784
108,109,13,131,13127,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,RECOLETA,50178,50113,65,157851,77709,80142,10000.2,97.0,44.0,26.0,18.1,22677272.5234375,22059.8162293579
109,110,13,131,13128,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,RENCA,43174,43165,9,147151,72681,74470,6194.4,97.6,46.8,32.1,14.7,34035034.0039063,34207.314087618
110,111,13,131,13129,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,SAN JOAQUÍN,30096,30071,25,94492,45831,48661,9504.2,94.2,47.1,25.3,21.8,14196855.2070313,16866.6670189135
111,112,13,131,13130,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,SAN MIGUEL,42947,42893,54,107954,50738,57216,11229.8,88.7,41.6,23.5,18.1,14038301.453125,16018.4565637051
112,113,13,131,13131,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,SAN RAMÓN,23855,23843,12,82900,40873,42027,13207.6,97.3,50.8,28.8,22.0,8935112.58789063,14023.8274707365
113,114,13,131,13132,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,VITACURA,31777,31745,32,85384,38402,46982,3003.8,81.7,56.4,28.8,27.5,40948101.5449219,30663.7993456278
114,115,13,132,13201,REGIÓN METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,171511,171450,61,568106,275147,292959,6439.5,93.9,41.4,30.6,10.8,127416650.107422,59058.9719066008
115,116,13,132,13202,REGIÓN METROPOLITANA DE SANTIAGO,CORDILLERA,PIRQUE,8308,8296,12,26521,13429,13092,59.6,102.6,44.9,30.3,14.6,645581140.398438,124097.246609447
116,117,13,132,13203,REGIÓN METROPOLITANA DE SANTIAGO,CORDILLERA,SAN JOSÉ DE MAIPO,6926,6850,76,18189,9861,8328,3.7,118.4,40.6,25.1,15.5,7222227505.11133,576352.560530061
117,118,13,133,13301,REGIÓN METROPOLITANA DE SANTIAGO,CHACABUCO,COLINA,43028,43000,28,146207,74635,71572,150.6,104.3,47.5,38.7,8.8,1388291115.35156,203420.738199626
118,119,13,133,13302,REGIÓN METROPOLITANA DE SANTIAGO,CHACABUCO,LAMPA,33342,33316,26,102034,51545,50489,226.7,102.1,47.1,38.6,8.6,645915507.466797,126276.028996991
119,120,13,133,13303,REGIÓN METROPOLITANA DE SANTIAGO,CHACABUCO,TILTIL,6934,6900,34,19312,10047,9265,29.5,108.4,45.9,30.8,15.2,934028891.802734,159192.437002297
120,121,13,134,13401,REGIÓN METROPOLITANA DE SANTIAGO,MAIPO,SAN BERNARDO,90241,90193,48,301313,147800,153513,1970.9,96.3,45.7,33.1,12.6,221343836.261719,102327.632663749
121,122,13,134,13402,REGIÓN METROPOLITANA DE SANTIAGO,MAIPO,BUIN,31152,31109,43,96614,47575,49039,444.2,97.0,45.3,32.6,12.7,315540028.095703,105298.631859683
122,123,13,134,13403,REGIÓN METROPOLITANA DE SANTIAGO,MAIPO,CALERA DE TANGO,7601,7588,13,25392,12718,12674,347.2,100.3,43.6,30.0,13.5,105831328.03125,53700.8484030206
123,124,13,134,13404,REGIÓN METROPOLITANA DE SANTIAGO,MAIPO,PAINE,24462,24431,31,72759,36521,36238,107.4,100.8,46.2,32.0,14.2,985040694.792969,194491.771366076
124,125,13,135,13501,REGIÓN METROPOLITANA DE SANTIAGO,MELIPILLA,MELIPILLA,43393,43329,64,123627,61410,62217,91.4,98.7,48.1,31.0,17.1,1960011201.83008,277486.999594212
125,126,13,135,13502,REGIÓN METROPOLITANA DE SANTIAGO,MELIPILLA,ALHUÉ,2658,2627,31,6444,3516,2928,7.6,120.1,42.5,26.8,15.7,1233230276.93164,184082.712097385
126,127,13,135,13503,REGIÓN METROPOLITANA DE SANTIAGO,MELIPILLA,CURACAVÍ,11806,11784,22,32579,16222,16357,46.9,99.2,48.2,30.6,17.6,997658179.080078,183504.970625203
127,128,13,135,13504,REGIÓN METROPOLITANA DE SANTIAGO,MELIPILLA,MARÍA PINTO,4852,4850,2,13590,6830,6760,34.4,101.0,47.1,30.2,16.9,568714163.833984,129127.987168584
128,129,13,135,13505,REGIÓN METROPOLITANA DE SANTIAGO,MELIPILLA,SAN PEDRO,4187,4184,3,9726,5132,4594,12.4,111.7,54.8,32.7,22.1,1145957342.25781,193496.786629138
129,130,13,136,13601,REGIÓN METROPOLITANA DE SANTIAGO,TALAGANTE,TALAGANTE,23271,23251,20,74237,36769,37468,586.4,98.1,45.3,31.2,14.1,183173127.728516,80507.1823120284
130,131,13,136,13602,REGIÓN METROPOLITANA DE SANTIAGO,TALAGANTE,EL MONTE,11869,11860,9,35923,17793,18130,312.7,98.1,48.6,33.5,15.1,166417181.541016,59105.8843657511
131,132,13,136,13603,REGIÓN METROPOLITANA DE SANTIAGO,TALAGANTE,ISLA DE MAIPO,11826,11817,9,36219,18051,18168,191.3,99.4,47.5,32.4,15.1,274806416.972656,95287.6893456469
132,133,13,136,13604,REGIÓN METROPOLITANA DE SANTIAGO,TALAGANTE,PADRE HURTADO,20807,20787,20,63250,31452,31798,780.2,98.9,45.6,32.7,12.9,116995684.111328,60467.8754015605
133,134,13,136,13605,REGIÓN METROPOLITANA DE SANTIAGO,TALAGANTE,PEÑAFLOR,28549,28522,27,90201,43944,46257,1301.0,95.0,47.1,32.5,14.6,100206934.736328,46417.5397956526
134,135,6,61,6101,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,RANCAGUA,90043,89904,139,241774,117942,123832,923.7,95.2,47.7,31.1,16.6,382835855.197266,96984.9818673108
135,136,6,61,6102,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,CODEGUA,4402,4394,8,12988,6510,6478,45.5,100.5,46.4,31.1,15.3,417146783.4375,150733.99514545
